2023-03-18 09:33:58,001 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:02,232 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:02,442 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:02,723 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:02,965 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:07,725 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=3d3aed61-fb9c-4a2c-a8d6-8ed0655e38cc, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-18 09:34:09,218 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:09,323 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:09,538 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:15,309 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=3d3aed61-fb9c-4a2c-a8d6-8ed0655e38cc, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-03-18 09:34:16,921 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:23,592 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=3d3aed61-fb9c-4a2c-a8d6-8ed0655e38cc, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-18 09:34:39,345 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:39,532 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:46,924 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:34:48,806 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=3d3aed61-fb9c-4a2c-a8d6-8ed0655e38cc, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-18 09:34:54,002 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_BLOCK {owner=3d3aed61-fb9c-4a2c-a8d6-8ed0655e38cc, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-18 09:35:09,333 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:35:09,529 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
2023-03-18 09:35:16,931 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=72e1e144-bd84-4182-be8e-0cf784bfbc4a, command=[]} | ret=SUCCESS |  
2023-03-18 09:35:39,329 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=aac7026c-7b2d-49d0-8662-f33d390fa161, command=[]} | ret=SUCCESS |  
2023-03-18 09:35:39,538 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=c79a2e1f-6eaf-44d9-8a19-ac9bef1233da, command=[]} | ret=SUCCESS |  
