2025-09-16 08:46:34,180 | INFO  | OMSystemAudit | user=null | ip= | op=STARTUP {"NewOmState":"RUNNING","OmState":"INITIALIZED"} | ret=SUCCESS |  
2025-09-16 08:50:33,520 | INFO  | OMSystemAudit | user=null | ip= | op=DIRECTORY_DELETION {"directoriesDeleted":"1","subdirectoriesMoved":"0","subFilesMoved":"1","directoriesDeletedList":"/-9223372036854773760/-9223372036854772736/-9223372036854771454/250916084900/-9223372036854771453","subdirectoriesMovedList":"","subFilesMovedList":"/-9223372036854773760/-9223372036854772736/-9223372036854771453/key2/-9223372036854771967"} | ret=SUCCESS |  
2025-09-16 08:51:33,565 | INFO  | OMSystemAudit | user=null | ip= | op=KEY_DELETION {"keysDeleted":"1","renamedKeysPurged":"0","deletedKeysList":"/10474-source/bucket1/.Trash/hadoop/250916084900/key2/-9223372036854771967"} | ret=SUCCESS |  
2025-09-16 08:52:33,497 | INFO  | OMSystemAudit | user=null | ip= | op=DIRECTORY_DELETION {"directoriesDeleted":"3","subdirectoriesMoved":"0","subFilesMoved":"3","directoriesDeletedList":"/-9223372036854763008/-9223372036854762496/-9223372036854759934/Current/-9223372036854759933,/-9223372036854763008/-9223372036854762496/-9223372036854762496/.Trash/-9223372036854759935,/-9223372036854763008/-9223372036854762496/-9223372036854759935/hadoop/-9223372036854759934","subdirectoriesMovedList":"","subFilesMovedList":"/-9223372036854763008/-9223372036854762496/-9223372036854759933/key1-copy/-9223372036854760959,/-9223372036854763008/-9223372036854762496/-9223372036854759933/key1_RATIS/-9223372036854761471,/-9223372036854763008/-9223372036854762496/-9223372036854759933/key2/-9223372036854761983"} | ret=SUCCESS |  
2025-09-16 08:53:33,494 | INFO  | OMSystemAudit | user=null | ip= | op=KEY_DELETION {"keysDeleted":"3","renamedKeysPurged":"0","deletedKeysList":"/24193-without-scheme/bb1/.Trash/hadoop/Current/key1-copy/-9223372036854760959,/24193-without-scheme/bb1/.Trash/hadoop/Current/key1_RATIS/-9223372036854761471,/24193-without-scheme/bb1/.Trash/hadoop/Current/key2/-9223372036854761983"} | ret=SUCCESS |  
2025-09-16 08:54:33,488 | INFO  | OMSystemAudit | user=null | ip= | op=DIRECTORY_DELETION {"directoriesDeleted":"3","subdirectoriesMoved":"0","subFilesMoved":"3","directoriesDeletedList":"/-9223372036854755840/-9223372036854755328/-9223372036854755328/.Trash/-9223372036854752767,/-9223372036854755840/-9223372036854755328/-9223372036854752767/hadoop/-9223372036854752766,/-9223372036854755840/-9223372036854755328/-9223372036854752766/250916085400/-9223372036854752765","subdirectoriesMovedList":"","subFilesMovedList":"/-9223372036854755840/-9223372036854755328/-9223372036854752765/key2/-9223372036854754815,/-9223372036854755840/-9223372036854755328/-9223372036854752765/key1_RATIS/-9223372036854754303,/-9223372036854755840/-9223372036854755328/-9223372036854752765/key1-copy/-9223372036854753791"} | ret=SUCCESS |  
2025-09-16 08:55:33,493 | INFO  | OMSystemAudit | user=null | ip= | op=KEY_DELETION {"keysDeleted":"3","renamedKeysPurged":"0","deletedKeysList":"/02382-with-host/bb1/.Trash/hadoop/250916085400/key1-copy/-9223372036854753791,/02382-with-host/bb1/.Trash/hadoop/250916085400/key1_RATIS/-9223372036854754303,/02382-with-host/bb1/.Trash/hadoop/250916085400/key2/-9223372036854754815"} | ret=SUCCESS |  
2025-09-16 08:59:33,493 | INFO  | OMSystemAudit | user=null | ip= | op=DIRECTORY_DELETION {"directoriesDeleted":"3","subdirectoriesMoved":"0","subFilesMoved":"3","directoriesDeletedList":"/-9223372036854740736/-9223372036854740224/-9223372036854737919/hadoop/-9223372036854737918,/-9223372036854740736/-9223372036854740224/-9223372036854737918/Current/-9223372036854737917,/-9223372036854740736/-9223372036854740224/-9223372036854740224/.Trash/-9223372036854737919","subdirectoriesMovedList":"","subFilesMovedList":"/-9223372036854740736/-9223372036854740224/-9223372036854737917/key1_RATIS/-9223372036854739199,/-9223372036854740736/-9223372036854740224/-9223372036854737917/key1-copy/-9223372036854738687,/-9223372036854740736/-9223372036854740224/-9223372036854737917/key2/-9223372036854739711"} | ret=SUCCESS |  
2025-09-16 08:59:33,493 | INFO  | OMSystemAudit | user=null | ip= | op=KEY_DELETION {"keysDeleted":"1","renamedKeysPurged":"0","deletedKeysList":"/02382-with-del/obsbkt/key2/-9223372036854732288"} | ret=SUCCESS |  
2025-09-16 09:00:33,488 | INFO  | OMSystemAudit | user=null | ip= | op=KEY_DELETION {"keysDeleted":"3","renamedKeysPurged":"0","deletedKeysList":"/02382-without-host/bb1/.Trash/hadoop/Current/key1-copy/-9223372036854738687,/02382-without-host/bb1/.Trash/hadoop/Current/key1_RATIS/-9223372036854739199,/02382-without-host/bb1/.Trash/hadoop/Current/key2/-9223372036854739711"} | ret=SUCCESS |  
2025-09-16 09:01:33,489 | INFO  | OMSystemAudit | user=null | ip= | op=DIRECTORY_DELETION {"directoriesDeleted":"2","subdirectoriesMoved":"0","subFilesMoved":"2","directoriesDeletedList":"/-9223372036854734080/-9223372036854733824/-9223372036854733054/250916090000/-9223372036854733053,/-9223372036854731008/-9223372036854730752/-9223372036854729470/250916090000/-9223372036854729469","subdirectoriesMovedList":"","subFilesMovedList":"/-9223372036854731008/-9223372036854730752/-9223372036854729469/mykey/-9223372036854729983,/-9223372036854734080/-9223372036854733824/-9223372036854733053/key3/-9223372036854733567"} | ret=SUCCESS |  
2025-09-16 09:02:33,485 | INFO  | OMSystemAudit | user=null | ip= | op=KEY_DELETION {"keysDeleted":"2","renamedKeysPurged":"0","deletedKeysList":"/02382-with-del/bfso/.Trash/hadoop/250916090000/key3/-9223372036854733567,/gpdzx/mybucket1/.Trash/hadoop/250916090000/mykey/-9223372036854729983"} | ret=SUCCESS |  
2025-09-16 09:02:33,489 | INFO  | OMSystemAudit | user=null | ip= | op=DIRECTORY_DELETION {"directoriesDeleted":"3","subdirectoriesMoved":"0","subFilesMoved":"4","directoriesDeletedList":"/-9223372036854731008/-9223372036854724864/-9223372036854724094/250916090100/-9223372036854724093,/-9223372036854731008/-9223372036854728960/-9223372036854727678/250916090100/-9223372036854727677,/-9223372036854731008/-9223372036854726400/-9223372036854725630/250916090100/-9223372036854725629","subdirectoriesMovedList":"","subFilesMovedList":"/-9223372036854731008/-9223372036854728960/-9223372036854727677/mykey/-9223372036854728703,/-9223372036854731008/-9223372036854724864/-9223372036854724093/mykey/-9223372036854724607,/-9223372036854731008/-9223372036854728960/-9223372036854727677/myStreamKey/-9223372036854727167,/-9223372036854731008/-9223372036854726400/-9223372036854725629/mykey/-9223372036854726143"} | ret=SUCCESS |  
