2023-03-10 23:07:16,455 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:20,377 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:20,575 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:20,912 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:21,533 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:28,252 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=d70ea55c-89e6-40db-b052-b3b4b037307b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-10 23:07:30,181 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:30,509 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:30,637 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:38,001 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=d70ea55c-89e6-40db-b052-b3b4b037307b, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-03-10 23:07:40,024 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:07:48,299 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=d70ea55c-89e6-40db-b052-b3b4b037307b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-10 23:08:00,511 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
2023-03-10 23:08:00,644 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:08:10,036 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:08:20,098 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=d70ea55c-89e6-40db-b052-b3b4b037307b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-10 23:08:26,914 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=d70ea55c-89e6-40db-b052-b3b4b037307b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-03-10 23:08:30,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
2023-03-10 23:08:30,691 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:08:40,029 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
2023-03-10 23:09:00,507 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=58d29781-649b-4add-b044-35af1f6e1525, command=[]} | ret=SUCCESS |  
2023-03-10 23:09:00,648 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=62e721a4-58d1-45b8-8177-bcc3c77ea60e, command=[]} | ret=SUCCESS |  
2023-03-10 23:09:10,032 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=ce301eec-0608-4941-8023-90785189333f, command=[]} | ret=SUCCESS |  
