2023-12-29 14:48:31,316 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=REGISTER {datanodeDetails=fec01a80-9501-4673-b0a8-3c58712e3e86{ip: 172.20.0.13, host: f400ace9abab, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-12-29 14:48:31,705 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=REGISTER {datanodeDetails=f22edb5d-7804-4d8a-84a4-e63d995737ce{ip: 172.20.0.11, host: d9ab66fa21c3, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2023-12-29 14:48:33,209 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fec01a80-9501-4673-b0a8-3c58712e3e86, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "11d2ab24-ca09-42fb-abe6-b9eb3626633e" uuid128 { mostSigBits: 1284277018250789627 leastSigBits: -6059951828703485122 } } type: RATIS factor: ONE datanode { uuid: "fec01a80-9501-4673-b0a8-3c58712e3e86" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "fec01a80-9501-4673-b0a8-3c58712e3e86" networkLocation: "/default-rack" uuid128 { mostSigBits: -90042852989385101 leastSigBits: -5717253376393199994 } } cmdId: 1703861311331 } ]} | ret=SUCCESS |  
2023-12-29 14:48:33,686 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f22edb5d-7804-4d8a-84a4-e63d995737ce, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b5629d8a-7e32-4903-bfbd-0529258ac03f" uuid128 { mostSigBits: -5376561786978678525 leastSigBits: -4630539167585353665 } } type: RATIS factor: ONE datanode { uuid: "f22edb5d-7804-4d8a-84a4-e63d995737ce" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f22edb5d-7804-4d8a-84a4-e63d995737ce" networkLocation: "/default-rack" uuid128 { mostSigBits: -995617273110311542 leastSigBits: -8888726612282492978 } } cmdId: 1703861311332 } ]} | ret=SUCCESS |  
2023-12-29 14:48:34,290 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fec01a80-9501-4673-b0a8-3c58712e3e86, command=[]} | ret=SUCCESS |  
2023-12-29 14:48:34,778 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f22edb5d-7804-4d8a-84a4-e63d995737ce, command=[]} | ret=SUCCESS |  
2023-12-29 14:48:39,375 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fec01a80-9501-4673-b0a8-3c58712e3e86, command=[]} | ret=SUCCESS |  
2023-12-29 14:48:39,975 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f22edb5d-7804-4d8a-84a4-e63d995737ce, command=[]} | ret=SUCCESS |  
2023-12-29 14:49:09,373 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=fec01a80-9501-4673-b0a8-3c58712e3e86, command=[]} | ret=SUCCESS |  
2023-12-29 14:49:09,977 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=f22edb5d-7804-4d8a-84a4-e63d995737ce, command=[]} | ret=SUCCESS |  
2023-12-29 14:49:28,827 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=REGISTER {datanodeDetails=a0581067-4438-4298-ac2d-0c13eaa914e3{ip: 172.20.0.10, host: e85a130c0943, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
