2023-11-22 02:06:08,468 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_KEY {bucket=[bucket-ozone-test-0466115121], path=[README1.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,488 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_KEY {bucket=[bucket-ozone-test-0466115121], path=[README1.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,502 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,534 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=GET_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,935 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=MULTI_DELETE {bucket=[bucket-ozone-test-0466115121], delete=[]} | ret=SUCCESS |  
2023-11-22 02:06:08,949 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_KEY {bucket=[bucket-ozone-test-0466115121], path=[README10.md]} | ret=SUCCESS |  
2023-11-22 02:06:08,967 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[scxxgjsqyl], uploads=[]} | ret=SUCCESS |  
2023-11-22 02:06:09,852 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0466115121], path=[scxxgjsqyl], uploadId=[270f5a28-c9cc-4604-8aad-5ea3efbcc090-111451751642759181], partNumber=[1]} | ret=SUCCESS |  
2023-11-22 02:06:10,577 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-0466115121], path=[scxxgjsqyl], uploadId=[270f5a28-c9cc-4604-8aad-5ea3efbcc090-111451751642759181], partNumber=[2]} | ret=SUCCESS |  
2023-11-22 02:06:10,602 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0466115121], path=[scxxgjsqyl], uploadId=[270f5a28-c9cc-4604-8aad-5ea3efbcc090-111451751642759181]} | ret=SUCCESS |  
2023-11-22 02:06:11,366 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9105547640]} | ret=SUCCESS |  
2023-11-22 02:06:12,051 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8728852082]} | ret=SUCCESS |  
2023-11-22 02:06:12,820 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-8728852082]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:156)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.createS3Bucket(EndpointBase.java:190) 
2023-11-22 02:06:13,500 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-9192024902]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Invalid bucket name: invalid_bucket_ozone-test-9192024902
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:737)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.createBucket(OzoneManagerProtocolClientSideTranslatorPB.java:561) 
2023-11-22 02:06:14,083 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2063387508]} | ret=SUCCESS |  
2023-11-22 02:06:20,486 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-7425222857]} | ret=SUCCESS |  
2023-11-22 02:06:21,084 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-7425222857]} | ret=SUCCESS |  
2023-11-22 02:06:21,646 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-1544307046]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not found
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:737)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:975) 
2023-11-22 02:06:22,219 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-0454348397]} | ret=SUCCESS |  
2023-11-22 02:06:22,892 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-0454348397], path=[incomplete-multipartkey], uploads=[]} | ret=SUCCESS |  
2023-11-22 02:06:23,494 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-0454348397]} | ret=FAILURE | BUCKET_NOT_EMPTY org.apache.hadoop.ozone.om.exceptions.OMException: Volume s3v, Bucket bucket-ozone-test-0454348397 can't be deleted when it has incomplete multipart uploads
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:737)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:975) 
2023-11-22 02:06:24,614 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-0454348397]} | ret=SUCCESS |  
2023-11-22 02:06:25,182 | INFO  | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-0466115121]} | ret=SUCCESS |  
2023-11-22 02:06:25,748 | ERROR | S3GAudit | user=testuser/scm@EXAMPLE.COM | ip=172.20.0.12 | op=HEAD_BUCKET {bucket=[ozonenosuchbucketqqweqwe-ozone-test-3753128429]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
