2023-09-07 18:25:53,905 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=HEAD_KEY {bucket=[erasure], path=[README10.md]} | ret=SUCCESS |  
2023-09-07 18:25:53,961 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=INIT_MULTIPART_UPLOAD {bucket=[erasure], path=[vyoerztmwv], uploads=[]} | ret=SUCCESS |  
2023-09-07 18:25:55,451 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_MULTIPART_KEY {bucket=[erasure], path=[vyoerztmwv], uploadId=[5ab20772-6d63-4c1b-9559-9c8f57babae7-111025268585529357], partNumber=[1]} | ret=SUCCESS |  
2023-09-07 18:25:56,237 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_MULTIPART_KEY {bucket=[erasure], path=[vyoerztmwv], uploadId=[5ab20772-6d63-4c1b-9559-9c8f57babae7-111025268585529357], partNumber=[2]} | ret=SUCCESS |  
2023-09-07 18:25:56,285 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[erasure], path=[vyoerztmwv], uploadId=[5ab20772-6d63-4c1b-9559-9c8f57babae7-111025268585529357]} | ret=SUCCESS |  
2023-09-07 18:25:57,050 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-1785249331]} | ret=SUCCESS |  
2023-09-07 18:25:57,689 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2706303983]} | ret=SUCCESS |  
2023-09-07 18:25:58,460 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-2706303983]} | ret=SUCCESS |  
2023-09-07 18:25:59,174 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.5 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-4648968183]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Invalid bucket name: invalid_bucket_ozone-test-4648968183
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:729)
