2023-09-06 09:33:07,648 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b2fe5710-2215-45b5-b136-0694ea1d9cee, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:10,897 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7e401115-ea9b-4256-b1a9-63c0e9d73e51, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:11,105 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7e401115-ea9b-4256-b1a9-63c0e9d73e51, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:12,095 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=77686c2c-a302-432e-b6c0-b065d6440403, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:12,762 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b2fe5710-2215-45b5-b136-0694ea1d9cee, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:15,715 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=9c8b39c8-a93c-4893-a0cb-07c95f796043, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 09:33:17,996 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7e401115-ea9b-4256-b1a9-63c0e9d73e51, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:18,146 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b2fe5710-2215-45b5-b136-0694ea1d9cee, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:18,224 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=77686c2c-a302-432e-b6c0-b065d6440403, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:25,923 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=9c8b39c8-a93c-4893-a0cb-07c95f796043, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-06 09:33:27,914 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=77686c2c-a302-432e-b6c0-b065d6440403, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:36,332 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=9c8b39c8-a93c-4893-a0cb-07c95f796043, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 09:33:47,987 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7e401115-ea9b-4256-b1a9-63c0e9d73e51, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:48,159 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b2fe5710-2215-45b5-b136-0694ea1d9cee, command=[]} | ret=SUCCESS |  
2023-09-06 09:33:57,923 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=77686c2c-a302-432e-b6c0-b065d6440403, command=[]} | ret=SUCCESS |  
2023-09-06 09:34:03,417 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=9c8b39c8-a93c-4893-a0cb-07c95f796043, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 09:34:09,912 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=9c8b39c8-a93c-4893-a0cb-07c95f796043, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 09:34:17,974 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7e401115-ea9b-4256-b1a9-63c0e9d73e51, command=[]} | ret=SUCCESS |  
2023-09-06 09:34:18,156 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b2fe5710-2215-45b5-b136-0694ea1d9cee, command=[]} | ret=SUCCESS |  
2023-09-06 09:34:27,934 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=77686c2c-a302-432e-b6c0-b065d6440403, command=[]} | ret=SUCCESS |  
2023-09-06 09:34:47,975 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7e401115-ea9b-4256-b1a9-63c0e9d73e51, command=[]} | ret=SUCCESS |  
2023-09-06 09:34:48,154 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=b2fe5710-2215-45b5-b136-0694ea1d9cee, command=[]} | ret=SUCCESS |  
2023-09-06 09:34:57,913 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=77686c2c-a302-432e-b6c0-b065d6440403, command=[]} | ret=SUCCESS |  
