2023-09-06 09:46:30,343 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.4 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-06 09:46:30,529 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,531 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,531 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,540 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,547 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,567 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,578 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,583 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,583 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:30,593 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-06 09:46:33,619 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.15 | op=REGISTER {datanodeDetails=c627a568-8a27-4278-97db-5bd844e069a6(ab377267bb21/172.24.0.15)} | ret=SUCCESS |  
2023-09-06 09:46:33,624 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.14 | op=REGISTER {datanodeDetails=81435816-05ee-4b6e-9fb0-ce317b96accd(49ff1d36a60c/172.24.0.14)} | ret=SUCCESS |  
2023-09-06 09:46:33,653 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.13 | op=REGISTER {datanodeDetails=cc0739c5-106b-4457-bf41-6760daa1237a(5955aca0f5bb/172.24.0.13)} | ret=SUCCESS |  
2023-09-06 09:46:33,677 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.11 | op=REGISTER {datanodeDetails=8f6fb0d0-f701-4c2d-ac08-f52a7e169899(6a829d020e1e/172.24.0.11)} | ret=SUCCESS |  
2023-09-06 09:46:33,933 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.10 | op=REGISTER {datanodeDetails=3e007f7a-4562-40f5-a7cc-2bbbdbff859d(0cf78ef5eb47/172.24.0.10)} | ret=SUCCESS |  
2023-09-06 09:46:35,643 | INFO  | SCMAudit | user=hadoop | ip=172.24.0.7 | op=LIST_PIPELINE null | ret=SUCCESS |  
