2023-07-24 16:20:49,877 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
2023-07-24 16:20:53,744 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:20:54,063 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:20:54,863 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
2023-07-24 16:20:55,031 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=51afaec0-32d9-4535-ab12-4e2da24be32f, command=[]} | ret=SUCCESS |  
2023-07-24 16:20:58,756 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=ff7e957f-7102-4428-84df-7791731d323c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-24 16:21:01,364 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:01,380 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:01,674 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=51afaec0-32d9-4535-ab12-4e2da24be32f, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:11,317 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=ff7e957f-7102-4428-84df-7791731d323c, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-07-24 16:21:13,695 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=51afaec0-32d9-4535-ab12-4e2da24be32f, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:23,776 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=ff7e957f-7102-4428-84df-7791731d323c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-24 16:21:31,367 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:31,410 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:43,666 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=51afaec0-32d9-4535-ab12-4e2da24be32f, command=[]} | ret=SUCCESS |  
2023-07-24 16:21:58,187 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=ff7e957f-7102-4428-84df-7791731d323c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-24 16:22:01,386 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:22:01,412 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
2023-07-24 16:22:06,084 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=ff7e957f-7102-4428-84df-7791731d323c, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-24 16:22:13,668 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=51afaec0-32d9-4535-ab12-4e2da24be32f, command=[]} | ret=SUCCESS |  
2023-07-24 16:22:31,357 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:22:31,399 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
2023-07-24 16:22:43,667 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=51afaec0-32d9-4535-ab12-4e2da24be32f, command=[]} | ret=SUCCESS |  
2023-07-24 16:23:01,382 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=13e29436-52b0-457d-9fa1-2c2a8b98fbfd, command=[]} | ret=SUCCESS |  
2023-07-24 16:23:01,387 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=f5e42c93-acdb-4e7c-ab10-40da6dc1cf22, command=[]} | ret=SUCCESS |  
