2023-07-23 03:13:20,501 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=b6d5f5cd-a7bf-44ab-ad35-5e39827138b8, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:24,578 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=df292ed5-b618-4a04-b9db-d40645a1e2f5, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:24,779 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=df292ed5-b618-4a04-b9db-d40645a1e2f5, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:25,121 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=64754e3a-7672-4b94-aeb5-114d64ff7fb1, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:25,734 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=b6d5f5cd-a7bf-44ab-ad35-5e39827138b8, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:28,449 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=ef207c67-fa71-42e2-809a-81d91a9948a1, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-23 03:13:30,127 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=df292ed5-b618-4a04-b9db-d40645a1e2f5, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:30,257 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=64754e3a-7672-4b94-aeb5-114d64ff7fb1, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:30,263 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=b6d5f5cd-a7bf-44ab-ad35-5e39827138b8, command=[]} | ret=SUCCESS |  
2023-07-23 03:13:39,391 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=ef207c67-fa71-42e2-809a-81d91a9948a1, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
