2023-08-30 15:01:50,594 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=df19c14d-a59c-4161-af12-736242f91c6c, command=[]} | ret=SUCCESS |  
2023-08-30 15:01:54,010 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=3a5a7103-72d7-4cf1-b590-17297c6a5f6d, command=[]} | ret=SUCCESS |  
2023-08-30 15:01:54,195 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=3a5a7103-72d7-4cf1-b590-17297c6a5f6d, command=[]} | ret=SUCCESS |  
2023-08-30 15:01:55,072 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1394774a-1410-43c1-83bc-45e73a462864, command=[]} | ret=SUCCESS |  
2023-08-30 15:01:55,768 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=df19c14d-a59c-4161-af12-736242f91c6c, command=[]} | ret=SUCCESS |  
2023-08-30 15:01:58,323 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=808824a2-a0b9-4318-8a87-13f696c35292, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-30 15:02:00,643 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=3a5a7103-72d7-4cf1-b590-17297c6a5f6d, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:00,899 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=df19c14d-a59c-4161-af12-736242f91c6c, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:00,953 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1394774a-1410-43c1-83bc-45e73a462864, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:09,260 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=808824a2-a0b9-4318-8a87-13f696c35292, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-08-30 15:02:11,396 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1394774a-1410-43c1-83bc-45e73a462864, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:19,846 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=808824a2-a0b9-4318-8a87-13f696c35292, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-30 15:02:30,650 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=3a5a7103-72d7-4cf1-b590-17297c6a5f6d, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:30,925 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=df19c14d-a59c-4161-af12-736242f91c6c, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:41,393 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1394774a-1410-43c1-83bc-45e73a462864, command=[]} | ret=SUCCESS |  
2023-08-30 15:02:46,654 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=808824a2-a0b9-4318-8a87-13f696c35292, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-30 15:02:53,284 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=808824a2-a0b9-4318-8a87-13f696c35292, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-30 15:03:00,644 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=3a5a7103-72d7-4cf1-b590-17297c6a5f6d, command=[]} | ret=SUCCESS |  
2023-08-30 15:03:00,907 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=df19c14d-a59c-4161-af12-736242f91c6c, command=[]} | ret=SUCCESS |  
2023-08-30 15:03:11,382 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1394774a-1410-43c1-83bc-45e73a462864, command=[]} | ret=SUCCESS |  
2023-08-30 15:03:30,650 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=3a5a7103-72d7-4cf1-b590-17297c6a5f6d, command=[]} | ret=SUCCESS |  
2023-08-30 15:03:30,905 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=df19c14d-a59c-4161-af12-736242f91c6c, command=[]} | ret=SUCCESS |  
2023-08-30 15:03:41,377 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=1394774a-1410-43c1-83bc-45e73a462864, command=[]} | ret=SUCCESS |  
