2023-03-16 15:08:06,510 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3460883974], path=[multiUpload.2.gz], uploadId=[d81bd1af-f463-4ebc-8f42-3e3075495a67-110033586424119311], partNumber=[1]} | ret=SUCCESS |  
2023-03-16 15:08:06,583 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3460883974], path=[multiUpload.2.gz], uploadId=[d81bd1af-f463-4ebc-8f42-3e3075495a67-110033586424119311]} | ret=SUCCESS |  
2023-03-16 15:08:06,665 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_BUCKET {bucket=[bucket-ehnbwaglzk]} | ret=SUCCESS |  
2023-03-16 15:08:06,735 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-03-16 15:08:06,806 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=HEAD_BUCKET {bucket=[bucket-ozone-test-3460883974]} | ret=SUCCESS |  
2023-03-16 15:08:06,912 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=DELETE_BUCKET {bucket=[ozone-test-wtaruxkbib]} | ret=SUCCESS |  
2023-03-16 15:08:06,998 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_KEY {bucket=[bucket-ozone-test-3460883974], path=[README1.md]} | ret=SUCCESS |  
2023-03-16 15:08:07,155 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=HEAD_KEY {bucket=[bucket-ozone-test-3460883974], path=[README1.md]} | ret=SUCCESS |  
2023-03-16 15:08:07,184 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=HEAD_KEY {bucket=[bucket-ozone-test-3460883974], path=[README10.md]} | ret=SUCCESS |  
2023-03-16 15:08:07,209 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=GET_KEY {bucket=[bucket-ozone-test-3460883974], path=[README10.md]} | ret=SUCCESS |  
2023-03-16 15:08:07,636 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=MULTI_DELETE {bucket=[bucket-ozone-test-3460883974], delete=[]} | ret=SUCCESS |  
2023-03-16 15:08:07,687 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=HEAD_KEY {bucket=[bucket-ozone-test-3460883974], path=[README10.md]} | ret=SUCCESS |  
2023-03-16 15:08:07,743 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=INIT_MULTIPART_UPLOAD {bucket=[bucket-ozone-test-3460883974], path=[ldihktslvg], uploads=[]} | ret=SUCCESS |  
2023-03-16 15:08:09,033 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3460883974], path=[ldihktslvg], uploadId=[4666fe87-bc5a-446d-a8cc-701349ce2686-110033586600017939], partNumber=[1]} | ret=SUCCESS |  
2023-03-16 15:08:10,158 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.13 | op=CREATE_MULTIPART_KEY {bucket=[bucket-ozone-test-3460883974], path=[ldihktslvg], uploadId=[4666fe87-bc5a-446d-a8cc-701349ce2686-110033586600017939], partNumber=[2]} | ret=SUCCESS |  
