2023-03-16 14:58:16,715 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=45744-without-scheme, creationTime=1678978696379, modificationTime=1678978696379, quotaInBytes=109951162777600, quotaInNamespace=100, usedNamespace=0, objectID=-9223372036854775552, updateID=1} | ret=SUCCESS |  
2023-03-16 14:58:34,922 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=SET_QUOTA {volume=45744-without-scheme, quotaInBytes=10995116277760} | ret=SUCCESS |  
2023-03-16 14:58:46,438 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=CREATE_BUCKET {volume=45744-without-scheme, bucket=bb1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1678978726359, bucketEncryptionKey=null, modificationTime=1678978726359, usedBytes=0, usedNamespace=0} | ret=SUCCESS |  
2023-03-16 14:59:11,798 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=UPDATE_BUCKET {volume=45744-without-scheme, bucket=bb1, gdprEnabled=null, isVersionEnabled=null} | ret=SUCCESS |  
2023-03-16 14:59:38,293 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=ALLOCATE_KEY {volume=45744-without-scheme, bucket=bb1, key=key1, dataSize=17539, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-03-16 14:59:43,234 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=COMMIT_KEY {volume=45744-without-scheme, bucket=bb1, key=key1, dataSize=17539, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-03-16 14:59:57,499 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=ALLOCATE_KEY {volume=45744-without-scheme, bucket=bb1, key=key1_RATIS, dataSize=17539, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-03-16 15:00:01,567 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=COMMIT_KEY {volume=45744-without-scheme, bucket=bb1, key=key1_RATIS, dataSize=17539, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-03-16 15:00:23,697 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=DELETE_KEY {volume=45744-without-scheme, bucket=bb1, key=key1_RATIS, dataSize=0, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-03-16 15:00:29,777 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=ALLOCATE_KEY {volume=45744-without-scheme, bucket=bb1, key=key1-copy, dataSize=17539, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-03-16 15:00:34,201 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=COMMIT_KEY {volume=45744-without-scheme, bucket=bb1, key=key1-copy, dataSize=17539, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-03-16 15:00:49,411 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=DELETE_KEY {volume=45744-without-scheme, bucket=bb1, key=key1-copy, dataSize=0, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-03-16 15:01:20,473 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=RENAME_KEY {volume=45744-without-scheme, bucket=bb1, dataSize=0, replicationType=NONE, replicationFactor=ZERO, srcKey=key1, dstKey=key2} | ret=SUCCESS |  
2023-03-16 15:01:31,490 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=DELETE_KEY {volume=45744-without-scheme, bucket=bb1, key=key2, dataSize=0, replicationType=NONE, replicationFactor=ZERO} | ret=SUCCESS |  
2023-03-16 15:01:36,953 | INFO  | OMAudit | user=hadoop | ip=172.18.0.13 | op=SET_QUOTA {volume=45744-without-scheme, quotaInBytes=-1} | ret=SUCCESS |  
