2024-09-15 16:55:06,216 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=REGISTER {datanodeDetails=7eb64d0d-59cb-4d0b-8802-d1c402ee4e48{ip: 172.20.0.13, host: bda73195d50c, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-09-15 16:55:06,409 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=REGISTER {datanodeDetails=f2d4b88d-c852-40af-a57d-be36fe4d004d{ip: 172.20.0.14, host: efc508c42169, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
2024-09-15 16:55:08,182 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=7eb64d0d-59cb-4d0b-8802-d1c402ee4e48, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d0654003-7e3a-49c2-af65-c277569e2357" uuid128 { mostSigBits: -3430265157425935934 leastSigBits: -5808022326614285481 } } type: RATIS factor: ONE datanode { uuid: "7eb64d0d-59cb-4d0b-8802-d1c402ee4e48" ipAddress: "172.20.0.13" hostName: "xcompat-datanode-1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7eb64d0d-59cb-4d0b-8802-d1c402ee4e48" networkLocation: "/default-rack" uuid128 { mostSigBits: 9130570014276668683 leastSigBits: -8646117694804963768 } } cmdId: 1726419306193 } ]} | ret=SUCCESS |  
2024-09-15 16:55:08,393 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=f2d4b88d-c852-40af-a57d-be36fe4d004d, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "71324b0a-8bf1-4206-9dd1-52d21a27303c" uuid128 { mostSigBits: 8156664383790989830 leastSigBits: -7074782477286952900 } } type: RATIS factor: ONE datanode { uuid: "f2d4b88d-c852-40af-a57d-be36fe4d004d" ipAddress: "172.20.0.14" hostName: "xcompat-datanode-2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "f2d4b88d-c852-40af-a57d-be36fe4d004d" networkLocation: "/default-rack" uuid128 { mostSigBits: -948930702377598801 leastSigBits: -6521847541958639539 } } cmdId: 1726419306194 } ]} | ret=SUCCESS |  
2024-09-15 16:55:09,251 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=7eb64d0d-59cb-4d0b-8802-d1c402ee4e48, command=[]} | ret=SUCCESS |  
2024-09-15 16:55:09,490 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=f2d4b88d-c852-40af-a57d-be36fe4d004d, command=[]} | ret=SUCCESS |  
2024-09-15 16:55:14,438 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=7eb64d0d-59cb-4d0b-8802-d1c402ee4e48, command=[]} | ret=SUCCESS |  
2024-09-15 16:55:14,608 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=f2d4b88d-c852-40af-a57d-be36fe4d004d, command=[]} | ret=SUCCESS |  
2024-09-15 16:55:44,436 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=7eb64d0d-59cb-4d0b-8802-d1c402ee4e48, command=[]} | ret=SUCCESS |  
2024-09-15 16:55:44,609 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.14 | op=SEND_HEARTBEAT {datanodeUUID=f2d4b88d-c852-40af-a57d-be36fe4d004d, command=[]} | ret=SUCCESS |  
2024-09-15 16:56:03,261 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=REGISTER {datanodeDetails=afa73c2e-cfb3-4b0b-bd3c-fcf5e44ca73d{ip: 172.20.0.2, host: 7b949ea38356, networkLocation: /default-rack, certSerialId: null}} | ret=SUCCESS |  
