2023-04-18 11:20:21,208 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f1baa186-4baf-4fe4-ba8a-2d77204bcf29, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:24,735 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f8787012-fda8-482a-8f99-8bae3d1efa7f, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:24,959 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=de9a1bb3-8fc3-4cb8-9b59-98eed50bc189, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:25,217 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f8787012-fda8-482a-8f99-8bae3d1efa7f, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:26,298 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f1baa186-4baf-4fe4-ba8a-2d77204bcf29, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:31,361 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_BLOCK {owner=d043ec27-9979-44db-b0b5-67fe3d2d83c7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-18 11:20:33,270 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f8787012-fda8-482a-8f99-8bae3d1efa7f, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:33,459 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f1baa186-4baf-4fe4-ba8a-2d77204bcf29, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:33,542 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=de9a1bb3-8fc3-4cb8-9b59-98eed50bc189, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:42,460 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_BLOCK {owner=d043ec27-9979-44db-b0b5-67fe3d2d83c7, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-04-18 11:20:44,180 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=de9a1bb3-8fc3-4cb8-9b59-98eed50bc189, command=[]} | ret=SUCCESS |  
2023-04-18 11:20:51,862 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_BLOCK {owner=d043ec27-9979-44db-b0b5-67fe3d2d83c7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-18 11:21:03,266 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f8787012-fda8-482a-8f99-8bae3d1efa7f, command=[]} | ret=SUCCESS |  
2023-04-18 11:21:03,467 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f1baa186-4baf-4fe4-ba8a-2d77204bcf29, command=[]} | ret=SUCCESS |  
2023-04-18 11:21:14,169 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=de9a1bb3-8fc3-4cb8-9b59-98eed50bc189, command=[]} | ret=SUCCESS |  
2023-04-18 11:21:21,312 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_BLOCK {owner=d043ec27-9979-44db-b0b5-67fe3d2d83c7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-18 11:21:27,709 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_BLOCK {owner=d043ec27-9979-44db-b0b5-67fe3d2d83c7, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-04-18 11:21:33,270 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f8787012-fda8-482a-8f99-8bae3d1efa7f, command=[]} | ret=SUCCESS |  
2023-04-18 11:21:33,481 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f1baa186-4baf-4fe4-ba8a-2d77204bcf29, command=[]} | ret=SUCCESS |  
2023-04-18 11:21:44,183 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=de9a1bb3-8fc3-4cb8-9b59-98eed50bc189, command=[]} | ret=SUCCESS |  
2023-04-18 11:22:03,272 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=f8787012-fda8-482a-8f99-8bae3d1efa7f, command=[]} | ret=SUCCESS |  
2023-04-18 11:22:03,460 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f1baa186-4baf-4fe4-ba8a-2d77204bcf29, command=[]} | ret=SUCCESS |  
2023-04-18 11:22:14,180 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=de9a1bb3-8fc3-4cb8-9b59-98eed50bc189, command=[]} | ret=SUCCESS |  
