2023-06-08 09:40:35,479 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=3bfbe563-d571-407f-8492-bc5c914631c9, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:39,666 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:39,864 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=175836f4-a858-43df-83d8-216985805cc4, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:40,052 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:40,456 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=3bfbe563-d571-407f-8492-bc5c914631c9, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:45,357 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=0bb0382d-80ce-43e9-8dc2-307d06cf11c6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-08 09:40:47,415 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:47,463 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=3bfbe563-d571-407f-8492-bc5c914631c9, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:47,676 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=175836f4-a858-43df-83d8-216985805cc4, command=[]} | ret=SUCCESS |  
2023-06-08 09:40:54,909 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=0bb0382d-80ce-43e9-8dc2-307d06cf11c6, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-08 09:40:56,748 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
2023-06-08 09:41:03,965 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=0bb0382d-80ce-43e9-8dc2-307d06cf11c6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-08 09:41:17,463 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=3bfbe563-d571-407f-8492-bc5c914631c9, command=[]} | ret=SUCCESS |  
2023-06-08 09:41:17,656 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=175836f4-a858-43df-83d8-216985805cc4, command=[]} | ret=SUCCESS |  
2023-06-08 09:41:26,747 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
2023-06-08 09:41:31,963 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=0bb0382d-80ce-43e9-8dc2-307d06cf11c6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-08 09:41:37,655 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=0bb0382d-80ce-43e9-8dc2-307d06cf11c6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-08 09:41:47,461 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=3bfbe563-d571-407f-8492-bc5c914631c9, command=[]} | ret=SUCCESS |  
2023-06-08 09:41:47,676 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=175836f4-a858-43df-83d8-216985805cc4, command=[]} | ret=SUCCESS |  
2023-06-08 09:41:56,752 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
2023-06-08 09:42:17,468 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=3bfbe563-d571-407f-8492-bc5c914631c9, command=[]} | ret=SUCCESS |  
2023-06-08 09:42:17,660 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=175836f4-a858-43df-83d8-216985805cc4, command=[]} | ret=SUCCESS |  
2023-06-08 09:42:26,750 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=0e5f4f5f-da71-49b5-868d-6127d7a6ca25, command=[]} | ret=SUCCESS |  
