2023-09-06 18:10:20,316 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=1c6a4a1a-adbd-4048-9959-50dfd4f6723c, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:24,096 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=f75af6ae-b490-4eae-9437-fbf578bfecde, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:24,138 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5bc59031-b645-4ec9-8dcf-d8bc7f249430, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:24,402 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=f75af6ae-b490-4eae-9437-fbf578bfecde, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:25,413 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=1c6a4a1a-adbd-4048-9959-50dfd4f6723c, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:28,019 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=614d9bab-6e0b-4218-ba9a-425326d25bf2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 18:10:30,180 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=f75af6ae-b490-4eae-9437-fbf578bfecde, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:30,198 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5bc59031-b645-4ec9-8dcf-d8bc7f249430, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:30,322 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=1c6a4a1a-adbd-4048-9959-50dfd4f6723c, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:37,218 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=614d9bab-6e0b-4218-ba9a-425326d25bf2, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-06 18:10:38,934 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=f75af6ae-b490-4eae-9437-fbf578bfecde, command=[]} | ret=SUCCESS |  
2023-09-06 18:10:46,076 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=614d9bab-6e0b-4218-ba9a-425326d25bf2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 18:11:00,165 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5bc59031-b645-4ec9-8dcf-d8bc7f249430, command=[]} | ret=SUCCESS |  
2023-09-06 18:11:00,318 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=1c6a4a1a-adbd-4048-9959-50dfd4f6723c, command=[]} | ret=SUCCESS |  
2023-09-06 18:11:08,582 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=614d9bab-6e0b-4218-ba9a-425326d25bf2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 18:11:08,928 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=f75af6ae-b490-4eae-9437-fbf578bfecde, command=[]} | ret=SUCCESS |  
2023-09-06 18:11:16,751 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=614d9bab-6e0b-4218-ba9a-425326d25bf2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-06 18:11:30,168 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5bc59031-b645-4ec9-8dcf-d8bc7f249430, command=[]} | ret=SUCCESS |  
2023-09-06 18:11:30,327 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=1c6a4a1a-adbd-4048-9959-50dfd4f6723c, command=[]} | ret=SUCCESS |  
2023-09-06 18:11:38,939 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=f75af6ae-b490-4eae-9437-fbf578bfecde, command=[]} | ret=SUCCESS |  
