2023-07-19 07:54:34,057 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9cae69a1-af4b-41ef-9a7c-758eb4ba40bd, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:37,379 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:37,569 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:38,124 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=c0594c0b-3f98-441a-9000-45742e28942a, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:39,058 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9cae69a1-af4b-41ef-9a7c-758eb4ba40bd, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:41,687 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=03e32339-6c2d-44f1-8e6d-04b8313170cb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-19 07:54:43,729 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9cae69a1-af4b-41ef-9a7c-758eb4ba40bd, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:43,837 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=c0594c0b-3f98-441a-9000-45742e28942a, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:43,859 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
2023-07-19 07:54:52,407 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=03e32339-6c2d-44f1-8e6d-04b8313170cb, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-07-19 07:54:54,195 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
2023-07-19 07:55:03,096 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=03e32339-6c2d-44f1-8e6d-04b8313170cb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:13,720 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9cae69a1-af4b-41ef-9a7c-758eb4ba40bd, command=[]} | ret=SUCCESS |  
2023-07-19 07:55:13,846 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=c0594c0b-3f98-441a-9000-45742e28942a, command=[]} | ret=SUCCESS |  
2023-07-19 07:55:24,202 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
2023-07-19 07:55:31,522 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=03e32339-6c2d-44f1-8e6d-04b8313170cb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:38,385 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=03e32339-6c2d-44f1-8e6d-04b8313170cb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:43,721 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9cae69a1-af4b-41ef-9a7c-758eb4ba40bd, command=[]} | ret=SUCCESS |  
2023-07-19 07:55:43,845 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=c0594c0b-3f98-441a-9000-45742e28942a, command=[]} | ret=SUCCESS |  
2023-07-19 07:55:54,199 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
2023-07-19 07:56:13,713 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=9cae69a1-af4b-41ef-9a7c-758eb4ba40bd, command=[]} | ret=SUCCESS |  
2023-07-19 07:56:13,840 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=c0594c0b-3f98-441a-9000-45742e28942a, command=[]} | ret=SUCCESS |  
2023-07-19 07:56:24,198 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=SEND_HEARTBEAT {datanodeUUID=9a2bc138-2f27-4536-9d8a-ee30ffb3bfa4, command=[]} | ret=SUCCESS |  
