2023-07-19 07:54:41,532 | INFO  | OMAudit | user=hadoop | ip=172.20.0.4 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=vol1, creationTime=1689753281501, modificationTime=1689753281501, quotaInBytes=1152921504606846976, objectID=256, updateID=1} | ret=SUCCESS |  
2023-07-19 07:54:41,582 | INFO  | OMAudit | user=hadoop | ip=172.20.0.4 | op=CREATE_BUCKET {volume=vol1, bucket=bucket1, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:users:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1689753281573, bucketEncryptionKey=null, modificationTime=1689753281573} | ret=SUCCESS |  
2023-07-19 07:54:41,736 | INFO  | OMAudit | user=hadoop | ip=172.20.0.4 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-07-19 07:54:44,131 | INFO  | OMAudit | user=hadoop | ip=172.20.0.4 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=warmup/0, dataSize=10240, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:54:52,414 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.4.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:54:54,363 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.4.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:54:58,785 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.4.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:55:03,106 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:04,779 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:04,932 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.4.0/file-1.4.0._COPYING_, dstKey=dir-1.4.0/file-1.4.0} | ret=SUCCESS |  
2023-07-19 07:55:24,500 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-07-19 07:55:31,527 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=ALLOCATE_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:33,225 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=key-1.0.0, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:55:35,740 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=CREATE_DIRECTORY {volume=vol1, bucket=bucket1, key=dir-1.0.0, dataSize=0, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:55:38,388 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=CREATE_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=268435456, replicationType=RATIS, replicationFactor=THREE} | ret=SUCCESS |  
2023-07-19 07:55:39,609 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=COMMIT_KEY {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0._COPYING_, dataSize=18, replicationType=RATIS, replicationFactor=ONE} | ret=SUCCESS |  
2023-07-19 07:55:39,647 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=RENAME_KEY {volume=vol1, bucket=bucket1, dataSize=0, replicationType=RATIS, replicationFactor=ONE, srcKey=dir-1.0.0/file-1.0.0._COPYING_, dstKey=dir-1.0.0/file-1.0.0} | ret=SUCCESS |  
2023-07-19 07:55:51,199 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-07-19 07:56:04,142 | INFO  | OMAudit | user=hadoop | ip=172.20.0.13 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.4.0/file-1.4.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
2023-07-19 07:56:23,719 | INFO  | OMAudit | user=hadoop | ip=172.20.0.12 | op=LOOKUP_FILE {volume=vol1, bucket=bucket1, key=dir-1.0.0/file-1.0.0, dataSize=0, replicationType=null, replicationFactor=null} | ret=SUCCESS |  
