2023-12-26 10:36:13,321 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=ac17fa6b-9bea-4a03-a31e-09aa4c9619b4, command=[]} | ret=SUCCESS |  
2023-12-26 10:36:42,963 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=3fa8c443-17b3-48c9-8372-7ced0b55faec, command=[]} | ret=SUCCESS |  
2023-12-26 10:36:43,323 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=ac17fa6b-9bea-4a03-a31e-09aa4c9619b4, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:02,524 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0207b3c5-692c-4345-a834-5f4bd68f04bc, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "83bcd2fa-294c-46c8-b1ee-40e9c8299d94" uuid128 { mostSigBits: -8954049987242867000 leastSigBits: -5625487511709442668 } } type: RATIS factor: ONE datanode { uuid: "0207b3c5-692c-4345-a834-5f4bd68f04bc" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "0207b3c5-692c-4345-a834-5f4bd68f04bc" networkLocation: "/default-rack" uuid128 { mostSigBits: 146283173367268165 leastSigBits: -6326326797221821252 } } cmdId: 1703586964524 } , commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "d5116ba4-213d-49db-ab38-5cbd3b45ad7c" uuid128 { mostSigBits: -3093573116350346789 leastSigBits: -6109030926715081348 } } type: RATIS factor: THREE datanode { uuid: "ac17fa6b-9bea-4a03-a31e-09aa4c9619b4" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "ac17fa6b-9bea-4a03-a31e-09aa4c9619b4" networkLocation: "/default-rack" uuid128 { mostSigBits: -6046088634637334013 leastSigBits: -6692901369191982668 } } datanode { uuid: "0207b3c5-692c-4345-a834-5f4bd68f04bc" ipAddress: "172.20.0.5" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "0207b3c5-692c-4345-a834-5f4bd68f04bc" networkLocation: "/default-rack" uuid128 { mostSigBits: 146283173367268165 leastSigBits: -6326326797221821252 } } datanode { uuid: "3fa8c443-17b3-48c9-8372-7ced0b55faec" ipAddress: "172.20.0.4" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "3fa8c443-17b3-48c9-8372-7ced0b55faec" networkLocation: "/default-rack" uuid128 { mostSigBits: 4587132012916328649 leastSigBits: -8974973749856699668 } } cmdId: 1703586964527 } ]} | ret=SUCCESS |  
2023-12-26 10:37:05,338 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=f48b34b0-630e-49f1-a2a6-8b6312386743, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-12-26 10:37:06,635 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=3fa8c443-17b3-48c9-8372-7ced0b55faec, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:06,700 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=ac17fa6b-9bea-4a03-a31e-09aa4c9619b4, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:06,770 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0207b3c5-692c-4345-a834-5f4bd68f04bc, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:09,315 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=0207b3c5-692c-4345-a834-5f4bd68f04bc, command=[]} | ret=SUCCESS |  
2023-12-26 10:37:12,242 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=ALLOCATE_BLOCK {owner=f48b34b0-630e-49f1-a2a6-8b6312386743, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
