2026-03-15 03:25:35,985 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-15 03:25:35,985 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-15 03:25:35,985 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-15 03:25:38,275 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=REGISTER {"datanodeDetails":"2d82d142-9fa1-451d-804d-a1c67dc12e27(f154527d787e/172.18.0.9)"} | ret=SUCCESS |  
2026-03-15 03:25:39,162 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=REGISTER {"datanodeDetails":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32(734b77deb66f/172.18.0.6)"} | ret=SUCCESS |  
2026-03-15 03:25:39,831 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {"datanodeDetails":"692c686b-eb49-4ccf-a68b-0530ab1674a2(1bfa449ad826/172.18.0.8)"} | ret=SUCCESS |  
2026-03-15 03:25:40,033 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"2d82d142-9fa1-451d-804d-a1c67dc12e27","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:40,974 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:41,283 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:41,631 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"692c686b-eb49-4ccf-a68b-0530ab1674a2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:42,129 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-03-15 03:25:42,458 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_CONTAINER_COUNT {} | ret=SUCCESS |  
2026-03-15 03:25:42,516 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:42,668 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=LIST_PIPELINE {} | ret=SUCCESS |  
2026-03-15 03:25:43,014 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"2d82d142-9fa1-451d-804d-a1c67dc12e27","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:43,036 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:43,035 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"692c686b-eb49-4ccf-a68b-0530ab1674a2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:43,518 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:44,521 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:45,526 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:46,289 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.3 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-03-15 03:25:46,528 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:47,530 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:48,014 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"692c686b-eb49-4ccf-a68b-0530ab1674a2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,032 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,043 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"2d82d142-9fa1-451d-804d-a1c67dc12e27","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,230 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"2d82d142-9fa1-451d-804d-a1c67dc12e27","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,236 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"2d82d142-9fa1-451d-804d-a1c67dc12e27","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,263 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,268 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,299 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"692c686b-eb49-4ccf-a68b-0530ab1674a2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,304 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {"datanodeUUID":"692c686b-eb49-4ccf-a68b-0530ab1674a2","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:48,534 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:49,537 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:50,539 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:51,541 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:52,543 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.4 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-03-15 03:25:53,234 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.9 | op=SEND_HEARTBEAT {"datanodeUUID":"2d82d142-9fa1-451d-804d-a1c67dc12e27","term":"2","command":"[]"} | ret=SUCCESS |  
2026-03-15 03:25:53,266 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.6 | op=SEND_HEARTBEAT {"datanodeUUID":"e6c9c6f2-eb5f-4ad4-abf7-6dd09ce99b32","term":"2","command":"[]"} | ret=SUCCESS |  
