2023-02-27 12:18:19,908 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:18:23,844 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:18:40,185 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:18:49,859 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:18:53,884 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:00,417 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.22.0.10 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-02-27 12:19:07,074 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:07,585 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:08,580 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:22,281 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.22.0.10 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-02-27 12:19:27,319 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:27,320 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:27,393 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:42,905 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.22.0.10 | op=ALLOCATE_BLOCK {replication=RATIS/THREE, owner=om1, size=268435456, num=1, allocated=1} | ret=SUCCESS |  
2023-02-27 12:19:57,109 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.7 | op=SEND_HEARTBEAT {datanodeUUID=24284a9a-2917-4d73-9f01-5fdb206c1b80, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:57,181 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.5 | op=SEND_HEARTBEAT {datanodeUUID=903590de-2bfa-47c1-851e-c54ef31edb06, term=2, command=[]} | ret=SUCCESS |  
2023-02-27 12:19:57,227 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.22.0.4 | op=SEND_HEARTBEAT {datanodeUUID=b8cd82e6-7b78-4f6c-a16d-8821982a1354, term=2, command=[]} | ret=SUCCESS |  
