2025-03-25 21:26:06,283 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.19.0.7 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-25 21:26:08,463 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:10,367 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:11,371 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:12,374 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:13,376 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:14,379 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:15,384 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:16,387 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:17,391 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:18,393 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:18,542 | INFO  | SCMAudit | user=om/om@EXAMPLE.COM | ip=172.19.0.7 | op=GET_SCM_INFO null | ret=SUCCESS |  
2025-03-25 21:26:18,654 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.14 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-25 21:26:19,396 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:19,748 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-25 21:26:20,399 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:20,505 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.14 | op=REGISTER {datanodeDetails=07745f3e-afba-4fa1-b670-8d2892369811(dn/172.19.0.14)} | ret=SUCCESS |  
2025-03-25 21:26:20,588 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2025-03-25 21:26:21,343 | INFO  | SCMAudit | user=recon/recon@EXAMPLE.COM | ip=172.19.0.4 | op=LIST_PIPELINE null | ret=SUCCESS |  
2025-03-25 21:26:21,407 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:21,780 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.5 | op=REGISTER {datanodeDetails=71b93c83-b631-4629-908a-d8fe5082000c(dn/172.19.0.5)} | ret=SUCCESS |  
2025-03-25 21:26:22,439 | INFO  | SCMAudit | user=HTTP/scm@EXAMPLE.COM | ip=172.19.0.12 | op=IN_SAFE_MODE null | ret=SUCCESS |  
2025-03-25 21:26:22,508 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.19.0.13 | op=REGISTER {datanodeDetails=2b64ef43-7e87-4312-8c23-9da5b96bfeab(dn/172.19.0.13)} | ret=SUCCESS |  
