2023-08-31 10:51:07,317 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:11,095 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ca03fec9-e072-4143-9261-148f9bd4524e, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:11,336 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ca03fec9-e072-4143-9261-148f9bd4524e, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:12,353 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f3ddb2bd-1f6e-4fd4-ab79-8bc8d5f7b167, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:12,440 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:15,686 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=b1dd40d6-5166-4c87-b46e-40262069acf9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-08-31 10:51:17,667 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=ca03fec9-e072-4143-9261-148f9bd4524e, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:17,846 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=f3ddb2bd-1f6e-4fd4-ab79-8bc8d5f7b167, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:17,983 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=2804ec07-384c-434c-8f44-2197998bcd4c, command=[]} | ret=SUCCESS |  
2023-08-31 10:51:25,753 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=b1dd40d6-5166-4c87-b46e-40262069acf9, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
