2024-04-16 18:00:42,754 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:42,832 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:43,252 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=b230fc94-6e80-4f54-8065-e1f02a4cddaf, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "b236a239-354f-4ec5-953f-c8bd1eef2d74" uuid128 { mostSigBits: -5605114319624778043 leastSigBits: -7692208923932152460 } } type: RATIS factor: THREE datanode { uuid: "bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54" ipAddress: "172.20.0.9" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54" networkLocation: "/default-rack" uuid128 { mostSigBits: -4801562624562344133 leastSigBits: -5344096531683090604 } } datanode { uuid: "b230fc94-6e80-4f54-8065-e1f02a4cddaf" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b230fc94-6e80-4f54-8065-e1f02a4cddaf" networkLocation: "/default-rack" uuid128 { mostSigBits: -5606703821637005484 leastSigBits: -9194694642588918353 } } datanode { uuid: "1740c242-c544-46b0-bf22-113333829e78" ipAddress: "172.20.0.13" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "1740c242-c544-46b0-bf22-113333829e78" networkLocation: "/default-rack" uuid128 { mostSigBits: 1675552653415040688 leastSigBits: -4674154551651950984 } } cmdId: 1713290382285 } ]} | ret=SUCCESS |  
2024-04-16 18:00:47,737 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1740c242-c544-46b0-bf22-113333829e78, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:47,807 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1740c242-c544-46b0-bf22-113333829e78, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:47,832 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:49,857 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=4635b8d7-90b1-4030-a47e-44952cc0e55b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-16 18:00:50,986 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1740c242-c544-46b0-bf22-113333829e78, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:51,099 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=b230fc94-6e80-4f54-8065-e1f02a4cddaf, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:51,106 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54, command=[]} | ret=SUCCESS |  
2024-04-16 18:00:56,212 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=4635b8d7-90b1-4030-a47e-44952cc0e55b, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-04-16 18:00:57,370 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=b230fc94-6e80-4f54-8065-e1f02a4cddaf, command=[]} | ret=SUCCESS |  
2024-04-16 18:01:02,729 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=4635b8d7-90b1-4030-a47e-44952cc0e55b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-16 18:01:19,152 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=4635b8d7-90b1-4030-a47e-44952cc0e55b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-16 18:01:20,980 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1740c242-c544-46b0-bf22-113333829e78, command=[]} | ret=SUCCESS |  
2024-04-16 18:01:21,108 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54, command=[]} | ret=SUCCESS |  
2024-04-16 18:01:23,425 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=4635b8d7-90b1-4030-a47e-44952cc0e55b, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-04-16 18:01:27,377 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=b230fc94-6e80-4f54-8065-e1f02a4cddaf, command=[]} | ret=SUCCESS |  
2024-04-16 18:01:50,999 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=1740c242-c544-46b0-bf22-113333829e78, command=[]} | ret=SUCCESS |  
2024-04-16 18:01:51,119 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=bd5d6c3b-942b-4f3b-b5d5-f484c7a1df54, command=[]} | ret=SUCCESS |  
