2023-10-27 23:19:22,921 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0a16ea85-8fd8-43f5-bc98-34fbb1c8cfa4, command=[]} | ret=SUCCESS |  
2023-10-27 23:19:23,073 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b3ac9a41-fbbf-4d5d-a447-a65914d6b2fb, command=[]} | ret=SUCCESS |  
2023-10-27 23:19:23,190 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=49302895-5a21-4bd7-bb33-71216f0bbe64, command=[]} | ret=SUCCESS |  
2023-10-27 23:19:30,058 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=0c107abb-ff40-463e-af81-5d12970a5efd, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-10-27 23:19:31,686 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0a16ea85-8fd8-43f5-bc98-34fbb1c8cfa4, command=[]} | ret=SUCCESS |  
2023-10-27 23:19:38,709 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=0c107abb-ff40-463e-af81-5d12970a5efd, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 23:19:53,075 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b3ac9a41-fbbf-4d5d-a447-a65914d6b2fb, command=[]} | ret=SUCCESS |  
2023-10-27 23:19:53,190 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=49302895-5a21-4bd7-bb33-71216f0bbe64, command=[]} | ret=SUCCESS |  
2023-10-27 23:20:00,363 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=0c107abb-ff40-463e-af81-5d12970a5efd, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 23:20:01,692 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0a16ea85-8fd8-43f5-bc98-34fbb1c8cfa4, command=[]} | ret=SUCCESS |  
2023-10-27 23:20:05,422 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=0c107abb-ff40-463e-af81-5d12970a5efd, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 23:20:23,074 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b3ac9a41-fbbf-4d5d-a447-a65914d6b2fb, command=[]} | ret=SUCCESS |  
2023-10-27 23:20:23,202 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=49302895-5a21-4bd7-bb33-71216f0bbe64, command=[]} | ret=SUCCESS |  
2023-10-27 23:20:31,697 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=0a16ea85-8fd8-43f5-bc98-34fbb1c8cfa4, command=[]} | ret=SUCCESS |  
