2023-06-30 10:24:00,785 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8a812bbc-98e3-4715-97de-06c864241bf3, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:05,535 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=f07392d7-ab98-42eb-9cf0-8171dd2a74d9, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:05,643 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=f07392d7-ab98-42eb-9cf0-8171dd2a74d9, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:05,693 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=543fcfa0-c1eb-4d0c-8002-86ebb7aa5717, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:05,760 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8a812bbc-98e3-4715-97de-06c864241bf3, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:10,360 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7a7bf7a7-4d00-49a0-9c72-01be86437864, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-30 10:24:12,023 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=f07392d7-ab98-42eb-9cf0-8171dd2a74d9, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:12,276 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=8a812bbc-98e3-4715-97de-06c864241bf3, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:12,430 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=543fcfa0-c1eb-4d0c-8002-86ebb7aa5717, command=[]} | ret=SUCCESS |  
2023-06-30 10:24:19,439 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=7a7bf7a7-4d00-49a0-9c72-01be86437864, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
