2026-08-11 11:55:48,587 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:49,643 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:50,645 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:50,970 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 11:55:50,971 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 11:55:50,972 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=GET_VERSION {} | ret=SUCCESS |  
2026-08-11 11:55:51,648 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:52,142 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=REGISTER {"datanodeDetails":"d9cb6463-cb1b-4642-a030-0b2652b6eb52(dn2/10.9.0.12)"} | ret=SUCCESS |  
2026-08-11 11:55:52,534 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.16 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 11:55:52,538 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.15 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 11:55:52,544 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.14 | op=GET_SCM_INFO {} | ret=SUCCESS |  
2026-08-11 11:55:52,651 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:53,653 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:53,720 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=REGISTER {"datanodeDetails":"dffd68a6-5e62-492c-8cd8-325d95e17a88(dn3/10.9.0.13)"} | ret=SUCCESS |  
2026-08-11 11:55:53,769 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=REGISTER {"datanodeDetails":"374dfa88-285e-46e1-8bf2-402a413d5eea(dn1/10.9.0.11)"} | ret=SUCCESS |  
2026-08-11 11:55:54,082 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"d9cb6463-cb1b-4642-a030-0b2652b6eb52","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:54,656 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:55,664 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.17 | op=IN_SAFE_MODE {} | ret=SUCCESS |  
2026-08-11 11:55:55,759 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"374dfa88-285e-46e1-8bf2-402a413d5eea","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:55,775 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"dffd68a6-5e62-492c-8cd8-325d95e17a88","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:57,563 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.13 | op=SEND_HEARTBEAT {"datanodeUUID":"dffd68a6-5e62-492c-8cd8-325d95e17a88","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:57,585 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"d9cb6463-cb1b-4642-a030-0b2652b6eb52","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:57,587 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"374dfa88-285e-46e1-8bf2-402a413d5eea","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:58,614 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.12 | op=SEND_HEARTBEAT {"datanodeUUID":"d9cb6463-cb1b-4642-a030-0b2652b6eb52","term":"3","command":"[]"} | ret=SUCCESS |  
2026-08-11 11:55:58,800 | INFO  | SCMAudit | user=hadoop | ip=10.9.0.11 | op=SEND_HEARTBEAT {"datanodeUUID":"374dfa88-285e-46e1-8bf2-402a413d5eea","term":"3","command":"[]"} | ret=SUCCESS |  
