2024-01-30 07:36:35,228 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=837db493-ba32-4523-aaed-c16940a4c857, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ea580e7b-1b7f-491b-ac4b-e2b684548420" uuid128 { mostSigBits: -1560481348978783973 leastSigBits: -6031478002400590816 } } type: RATIS factor: THREE datanode { uuid: "7b2bbdb6-f1fd-459e-9e0f-04475f282b6c" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7b2bbdb6-f1fd-459e-9e0f-04475f282b6c" networkLocation: "/default-rack" uuid128 { mostSigBits: 8875396084105299358 leastSigBits: -7057417386480620692 } } datanode { uuid: "837db493-ba32-4523-aaed-c16940a4c857" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "837db493-ba32-4523-aaed-c16940a4c857" networkLocation: "/default-rack" uuid128 { mostSigBits: -8971816336075111133 leastSigBits: -6130030859981109161 } } datanode { uuid: "aff9fc04-9ce3-42cb-a42d-823d79138259" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aff9fc04-9ce3-42cb-a42d-823d79138259" networkLocation: "/default-rack" uuid128 { mostSigBits: -5766300751129001269 leastSigBits: -6616489077001452967 } } cmdId: 1706600134163 } ]} | ret=SUCCESS |  
2024-01-30 07:36:35,407 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=aff9fc04-9ce3-42cb-a42d-823d79138259, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "ea580e7b-1b7f-491b-ac4b-e2b684548420" uuid128 { mostSigBits: -1560481348978783973 leastSigBits: -6031478002400590816 } } type: RATIS factor: THREE datanode { uuid: "7b2bbdb6-f1fd-459e-9e0f-04475f282b6c" ipAddress: "172.20.0.11" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "7b2bbdb6-f1fd-459e-9e0f-04475f282b6c" networkLocation: "/default-rack" uuid128 { mostSigBits: 8875396084105299358 leastSigBits: -7057417386480620692 } } datanode { uuid: "837db493-ba32-4523-aaed-c16940a4c857" ipAddress: "172.20.0.10" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "837db493-ba32-4523-aaed-c16940a4c857" networkLocation: "/default-rack" uuid128 { mostSigBits: -8971816336075111133 leastSigBits: -6130030859981109161 } } datanode { uuid: "aff9fc04-9ce3-42cb-a42d-823d79138259" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "aff9fc04-9ce3-42cb-a42d-823d79138259" networkLocation: "/default-rack" uuid128 { mostSigBits: -5766300751129001269 leastSigBits: -6616489077001452967 } } cmdId: 1706600134163 } ]} | ret=SUCCESS |  
2024-01-30 07:36:39,894 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7b2bbdb6-f1fd-459e-9e0f-04475f282b6c, command=[]} | ret=SUCCESS |  
2024-01-30 07:36:40,118 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7b2bbdb6-f1fd-459e-9e0f-04475f282b6c, command=[]} | ret=SUCCESS |  
2024-01-30 07:36:42,707 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=462eca75-33cb-47ba-8ccd-1712752d0e96, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-30 07:36:43,834 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7b2bbdb6-f1fd-459e-9e0f-04475f282b6c, command=[]} | ret=SUCCESS |  
2024-01-30 07:36:43,858 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=aff9fc04-9ce3-42cb-a42d-823d79138259, command=[]} | ret=SUCCESS |  
2024-01-30 07:36:43,903 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=837db493-ba32-4523-aaed-c16940a4c857, command=[]} | ret=SUCCESS |  
2024-01-30 07:36:49,406 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=462eca75-33cb-47ba-8ccd-1712752d0e96, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-01-30 07:36:50,645 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=aff9fc04-9ce3-42cb-a42d-823d79138259, command=[]} | ret=SUCCESS |  
2024-01-30 07:36:56,567 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=462eca75-33cb-47ba-8ccd-1712752d0e96, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-30 07:37:13,835 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7b2bbdb6-f1fd-459e-9e0f-04475f282b6c, command=[]} | ret=SUCCESS |  
2024-01-30 07:37:13,902 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=837db493-ba32-4523-aaed-c16940a4c857, command=[]} | ret=SUCCESS |  
2024-01-30 07:37:14,264 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=462eca75-33cb-47ba-8ccd-1712752d0e96, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-30 07:37:18,506 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=462eca75-33cb-47ba-8ccd-1712752d0e96, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-30 07:37:20,650 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=aff9fc04-9ce3-42cb-a42d-823d79138259, command=[]} | ret=SUCCESS |  
2024-01-30 07:37:43,840 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=7b2bbdb6-f1fd-459e-9e0f-04475f282b6c, command=[]} | ret=SUCCESS |  
2024-01-30 07:37:43,913 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=837db493-ba32-4523-aaed-c16940a4c857, command=[]} | ret=SUCCESS |  
