2024-01-11 17:19:51,211 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:55,809 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:55,921 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:56,178 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:56,311 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[]} | ret=SUCCESS |  
2024-01-11 17:19:58,961 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f1e0b6b5-65c6-496f-a40e-42c877676143, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-11 17:20:00,177 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[]} | ret=SUCCESS |  
2024-01-11 17:20:00,216 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:20:00,328 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[]} | ret=SUCCESS |  
2024-01-11 17:20:05,907 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f1e0b6b5-65c6-496f-a40e-42c877676143, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-01-11 17:20:07,205 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:20:13,105 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f1e0b6b5-65c6-496f-a40e-42c877676143, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-11 17:20:30,168 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[]} | ret=SUCCESS |  
2024-01-11 17:20:30,326 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[]} | ret=SUCCESS |  
2024-01-11 17:20:32,612 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f1e0b6b5-65c6-496f-a40e-42c877676143, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-11 17:20:36,755 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=ALLOCATE_BLOCK {owner=f1e0b6b5-65c6-496f-a40e-42c877676143, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-11 17:20:37,207 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
2024-01-11 17:21:00,169 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=e3711340-b3d3-4614-9a3e-03fd23834875, command=[]} | ret=SUCCESS |  
2024-01-11 17:21:00,329 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=fbb80724-f261-45dc-b578-cc2e26c0b487, command=[]} | ret=SUCCESS |  
2024-01-11 17:21:07,208 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=f499b1a0-83a7-4f35-b1e5-c90f22023c6c, command=[]} | ret=SUCCESS |  
