2022-06-14 07:44:15,623 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=be8b1454-aaea-4b7d-82bc-9e458f681983, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:19,304 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b2945ced-df2b-4747-93a4-78d55d6fa8e1, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:19,582 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b2945ced-df2b-4747-93a4-78d55d6fa8e1, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:20,483 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=117c72ae-3d23-42a7-955b-a7d06b301c89, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:20,707 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=be8b1454-aaea-4b7d-82bc-9e458f681983, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:24,765 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=ce0cf1a8-5b64-4c10-84cd-751042150e16, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 07:44:26,569 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b2945ced-df2b-4747-93a4-78d55d6fa8e1, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:26,747 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=be8b1454-aaea-4b7d-82bc-9e458f681983, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:26,783 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=117c72ae-3d23-42a7-955b-a7d06b301c89, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:33,715 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=ce0cf1a8-5b64-4c10-84cd-751042150e16, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2022-06-14 07:44:35,411 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b2945ced-df2b-4747-93a4-78d55d6fa8e1, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:42,178 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=ce0cf1a8-5b64-4c10-84cd-751042150e16, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 07:44:56,741 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=be8b1454-aaea-4b7d-82bc-9e458f681983, command=[]} | ret=SUCCESS |  
2022-06-14 07:44:56,764 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=117c72ae-3d23-42a7-955b-a7d06b301c89, command=[]} | ret=SUCCESS |  
2022-06-14 07:45:05,416 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b2945ced-df2b-4747-93a4-78d55d6fa8e1, command=[]} | ret=SUCCESS |  
2022-06-14 07:45:07,163 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=ce0cf1a8-5b64-4c10-84cd-751042150e16, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 07:45:12,570 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=ALLOCATE_BLOCK {owner=ce0cf1a8-5b64-4c10-84cd-751042150e16, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-14 07:45:26,759 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=117c72ae-3d23-42a7-955b-a7d06b301c89, command=[]} | ret=SUCCESS |  
2022-06-14 07:45:26,775 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=be8b1454-aaea-4b7d-82bc-9e458f681983, command=[]} | ret=SUCCESS |  
2022-06-14 07:45:35,417 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b2945ced-df2b-4747-93a4-78d55d6fa8e1, command=[]} | ret=SUCCESS |  
2022-06-14 07:45:56,739 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=be8b1454-aaea-4b7d-82bc-9e458f681983, command=[]} | ret=SUCCESS |  
2022-06-14 07:45:56,761 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=117c72ae-3d23-42a7-955b-a7d06b301c89, command=[]} | ret=SUCCESS |  
