2023-10-04 16:21:43,875 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=28d9c559-4636-4a56-a0ab-0b8a4d51194a, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:47,313 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:47,569 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:48,116 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=acd9f863-ca39-4b36-9715-b7970de6a4de, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:48,881 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=28d9c559-4636-4a56-a0ab-0b8a4d51194a, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:52,386 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=21108907-733c-42f7-ae95-c5d9f133a5d5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-04 16:21:54,464 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:54,850 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=acd9f863-ca39-4b36-9715-b7970de6a4de, command=[]} | ret=SUCCESS |  
2023-10-04 16:21:54,912 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=28d9c559-4636-4a56-a0ab-0b8a4d51194a, command=[]} | ret=SUCCESS |  
2023-10-04 16:22:04,217 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=21108907-733c-42f7-ae95-c5d9f133a5d5, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-10-04 16:22:06,557 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=34548bfb-ff1b-45a9-acc7-e51118138957, command=[]} | ret=SUCCESS |  
2023-10-04 16:22:16,304 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=21108907-733c-42f7-ae95-c5d9f133a5d5, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
