2024-10-28 18:29:04,286 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=volume1, creationTime=1730140144201, modificationTime=1730140144201, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1, Transaction=1} | ret=SUCCESS |  
2024-10-28 18:29:06,857 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=CREATE_BUCKET {volume=volume1, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1730140146829, bucketEncryptionKey=null, modificationTime=1730140146829, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=EC, replicationConfig=rs-3-2-1024k, quotaInBytes=-1, quotaInNamespace=-1, Transaction=3} | ret=SUCCESS |  
2024-10-28 18:30:20,814 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-0.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=5} | ret=SUCCESS |  
2024-10-28 18:30:25,420 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-0.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=7} | ret=SUCCESS |  
2024-10-28 18:30:33,561 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-1.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=9} | ret=SUCCESS |  
2024-10-28 18:30:37,121 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-1.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=11} | ret=SUCCESS |  
2024-10-28 18:30:45,379 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-2.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=13} | ret=SUCCESS |  
2024-10-28 18:30:50,207 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-2.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=15} | ret=SUCCESS |  
2024-10-28 18:30:58,374 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-3.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=17} | ret=SUCCESS |  
2024-10-28 18:31:01,434 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-3.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=19} | ret=SUCCESS |  
2024-10-28 18:31:09,313 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-4.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=21} | ret=SUCCESS |  
2024-10-28 18:31:11,945 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-4.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=23} | ret=SUCCESS |  
2024-10-28 18:31:19,763 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-5.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=25} | ret=SUCCESS |  
2024-10-28 18:31:22,518 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-5.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=27} | ret=SUCCESS |  
2024-10-28 18:31:29,918 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-6.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=29} | ret=SUCCESS |  
2024-10-28 18:31:32,645 | INFO  | OMAudit | user=hadoop | ip=172.18.0.4 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-6.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=31} | ret=SUCCESS |  
