2023-09-27 20:42:12,312 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-27 20:42:12,315 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-27 20:42:12,318 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-27 20:42:12,321 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-27 20:42:12,322 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-27 20:42:12,322 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=GET_VERSION null | ret=SUCCESS |  
2023-09-27 20:42:12,799 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.6 | op=GET_SCM_INFO null | ret=SUCCESS |  
2023-09-27 20:42:14,706 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.13 | op=REGISTER {datanodeDetails=70d9036f-231b-44b8-a18f-584cb92b4eb7(8fae973ed968/172.19.0.13)} | ret=SUCCESS |  
2023-09-27 20:42:15,582 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.9 | op=REGISTER {datanodeDetails=3c322833-b473-4782-993e-9569a7286319(801e530cb0ba/172.19.0.9)} | ret=SUCCESS |  
2023-09-27 20:42:15,637 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.12 | op=REGISTER {datanodeDetails=f7e16d32-7e09-456d-bead-e6a05b5732e9(a5a285575311/172.19.0.12)} | ret=SUCCESS |  
2023-09-27 20:42:16,076 | INFO  | SCMAudit | user=hadoop | ip=172.19.0.7 | op=LIST_PIPELINE null | ret=SUCCESS |  
