2023-09-27 20:50:35,818 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:39,925 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=bf50cca5-72cb-4f6f-82a6-0b29a8de5469, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:40,149 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ec86e61e-a42b-43a2-9311-eae3e8d4b0cf, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:40,296 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=bf50cca5-72cb-4f6f-82a6-0b29a8de5469, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:40,811 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:44,663 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=222667e6-3b12-4b07-b151-29270245e92d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-27 20:50:46,781 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=bf50cca5-72cb-4f6f-82a6-0b29a8de5469, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:47,177 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:47,281 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ec86e61e-a42b-43a2-9311-eae3e8d4b0cf, command=[]} | ret=SUCCESS |  
2023-09-27 20:50:55,901 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=222667e6-3b12-4b07-b151-29270245e92d, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-27 20:50:58,139 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
2023-09-27 20:51:06,604 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=222667e6-3b12-4b07-b151-29270245e92d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:16,754 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=bf50cca5-72cb-4f6f-82a6-0b29a8de5469, command=[]} | ret=SUCCESS |  
2023-09-27 20:51:17,295 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ec86e61e-a42b-43a2-9311-eae3e8d4b0cf, command=[]} | ret=SUCCESS |  
2023-09-27 20:51:28,108 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
2023-09-27 20:51:33,997 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=222667e6-3b12-4b07-b151-29270245e92d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:40,354 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=222667e6-3b12-4b07-b151-29270245e92d, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-27 20:51:46,756 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=bf50cca5-72cb-4f6f-82a6-0b29a8de5469, command=[]} | ret=SUCCESS |  
2023-09-27 20:51:47,280 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ec86e61e-a42b-43a2-9311-eae3e8d4b0cf, command=[]} | ret=SUCCESS |  
2023-09-27 20:51:58,107 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
2023-09-27 20:52:16,749 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=bf50cca5-72cb-4f6f-82a6-0b29a8de5469, command=[]} | ret=SUCCESS |  
2023-09-27 20:52:17,272 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=ec86e61e-a42b-43a2-9311-eae3e8d4b0cf, command=[]} | ret=SUCCESS |  
2023-09-27 20:52:28,103 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=f7bb6d0f-4cc9-4356-96e2-fd74fb819752, command=[]} | ret=SUCCESS |  
