2024-01-05 19:40:06,989 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5138d106-2e92-42be-b06a-1308764399b5, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:07,036 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e669f143-a202-4d1d-ac29-54f2a670c8ac, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:07,087 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a36e752b-02a9-4851-a0e2-d2e6195fd0e7, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:09,880 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a36e752b-02a9-4851-a0e2-d2e6195fd0e7, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:10,155 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e669f143-a202-4d1d-ac29-54f2a670c8ac, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:12,448 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=963d1f63-1a27-469f-91ad-3684f952cecb, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2024-01-05 19:40:14,927 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a36e752b-02a9-4851-a0e2-d2e6195fd0e7, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:15,397 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e669f143-a202-4d1d-ac29-54f2a670c8ac, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:24,489 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a36e752b-02a9-4851-a0e2-d2e6195fd0e7, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:30,290 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=963d1f63-1a27-469f-91ad-3684f952cecb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-05 19:40:36,945 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5138d106-2e92-42be-b06a-1308764399b5, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:45,399 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e669f143-a202-4d1d-ac29-54f2a670c8ac, command=[]} | ret=SUCCESS |  
2024-01-05 19:40:47,477 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=963d1f63-1a27-469f-91ad-3684f952cecb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-05 19:40:51,692 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=963d1f63-1a27-469f-91ad-3684f952cecb, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2024-01-05 19:40:54,486 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=a36e752b-02a9-4851-a0e2-d2e6195fd0e7, command=[]} | ret=SUCCESS |  
2024-01-05 19:41:06,949 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=5138d106-2e92-42be-b06a-1308764399b5, command=[]} | ret=SUCCESS |  
2024-01-05 19:41:15,404 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=e669f143-a202-4d1d-ac29-54f2a670c8ac, command=[]} | ret=SUCCESS |  
