2023-10-27 16:25:29,626 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=be6ed3a2-f54c-4ecc-b7e0-af2301a8daff, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:33,524 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=c238f9b9-d5b2-43a0-8ae0-219a208d5b59, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:33,821 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=c238f9b9-d5b2-43a0-8ae0-219a208d5b59, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:33,997 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=09fdcb4f-c0b6-4203-8562-f5eab2e1621b, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:34,697 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=be6ed3a2-f54c-4ecc-b7e0-af2301a8daff, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:36,929 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=1c95dbe8-8c99-47dd-a0de-42871716e0f2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 16:25:38,756 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=c238f9b9-d5b2-43a0-8ae0-219a208d5b59, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:38,867 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=09fdcb4f-c0b6-4203-8562-f5eab2e1621b, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:39,097 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=be6ed3a2-f54c-4ecc-b7e0-af2301a8daff, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:46,056 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=1c95dbe8-8c99-47dd-a0de-42871716e0f2, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-10-27 16:25:47,747 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=c238f9b9-d5b2-43a0-8ae0-219a208d5b59, command=[]} | ret=SUCCESS |  
2023-10-27 16:25:54,940 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=1c95dbe8-8c99-47dd-a0de-42871716e0f2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 16:26:08,886 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=09fdcb4f-c0b6-4203-8562-f5eab2e1621b, command=[]} | ret=SUCCESS |  
2023-10-27 16:26:09,079 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=be6ed3a2-f54c-4ecc-b7e0-af2301a8daff, command=[]} | ret=SUCCESS |  
2023-10-27 16:26:16,956 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=1c95dbe8-8c99-47dd-a0de-42871716e0f2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 16:26:17,750 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=c238f9b9-d5b2-43a0-8ae0-219a208d5b59, command=[]} | ret=SUCCESS |  
2023-10-27 16:26:22,438 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=ALLOCATE_BLOCK {owner=1c95dbe8-8c99-47dd-a0de-42871716e0f2, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-10-27 16:26:38,874 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=09fdcb4f-c0b6-4203-8562-f5eab2e1621b, command=[]} | ret=SUCCESS |  
2023-10-27 16:26:39,083 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.5 | op=SEND_HEARTBEAT {datanodeUUID=be6ed3a2-f54c-4ecc-b7e0-af2301a8daff, command=[]} | ret=SUCCESS |  
2023-10-27 16:26:47,760 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.6 | op=SEND_HEARTBEAT {datanodeUUID=c238f9b9-d5b2-43a0-8ae0-219a208d5b59, command=[]} | ret=SUCCESS |  
