2022-06-13 01:29:19,564 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=9284c82a-42cb-4ae3-9800-a0afe93f0746, command=[commandType: createPipelineCommand createPipelineCommandProto { pipelineID { id: "35473d6e-80ab-4be5-98d4-ed30c97ce9f6" uuid128 { mostSigBits: 3839104752171043813 leastSigBits: -7434056291087226378 } } type: RATIS factor: THREE datanode { uuid: "9284c82a-42cb-4ae3-9800-a0afe93f0746" ipAddress: "172.20.0.4" hostName: "xcompat_datanode_2.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "9284c82a-42cb-4ae3-9800-a0afe93f0746" networkLocation: "/default-rack" uuid128 { mostSigBits: -7888960563411465501 leastSigBits: -7493813102551562426 } } datanode { uuid: "b3a125d3-7540-47ac-b1bf-125509a9d8cb" ipAddress: "172.20.0.7" hostName: "xcompat_datanode_1.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "b3a125d3-7540-47ac-b1bf-125509a9d8cb" networkLocation: "/default-rack" uuid128 { mostSigBits: -5503075679534561364 leastSigBits: -5638768052000925493 } } datanode { uuid: "556a1575-a699-46ed-9d52-898a55345b48" ipAddress: "172.20.0.12" hostName: "xcompat_datanode_3.xcompat_default" ports { name: "RATIS" value: 9858 } ports { name: "STANDALONE" value: 9859 } networkName: "556a1575-a699-46ed-9d52-898a55345b48" networkLocation: "/default-rack" uuid128 { mostSigBits: 6154755435805624045 leastSigBits: -7110469634436605112 } } cmdId: 1655083752096 } ]} | ret=SUCCESS |  
2022-06-13 01:29:20,042 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=9284c82a-42cb-4ae3-9800-a0afe93f0746, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:23,904 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=556a1575-a699-46ed-9d52-898a55345b48, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:23,950 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b3a125d3-7540-47ac-b1bf-125509a9d8cb, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:24,108 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=556a1575-a699-46ed-9d52-898a55345b48, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:29,946 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=e28ffa40-b975-4978-9135-166262173d03, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2022-06-13 01:29:31,680 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=556a1575-a699-46ed-9d52-898a55345b48, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:31,725 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=b3a125d3-7540-47ac-b1bf-125509a9d8cb, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:31,797 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=9284c82a-42cb-4ae3-9800-a0afe93f0746, command=[]} | ret=SUCCESS |  
2022-06-13 01:29:38,372 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=e28ffa40-b975-4978-9135-166262173d03, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
