2023-11-23 21:20:51,561 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=15d453d5-dade-497c-a5ea-ddbd95b067ac, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:51,798 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=13443fdc-b6d2-409b-87ec-019ef0554b9d, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:51,870 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=13443fdc-b6d2-409b-87ec-019ef0554b9d, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:52,379 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=15d453d5-dade-497c-a5ea-ddbd95b067ac, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:56,223 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=3e044b19-a2b9-427b-92c6-7fd68669b6a8, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:56,323 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=3e044b19-a2b9-427b-92c6-7fd68669b6a8, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:56,896 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=13443fdc-b6d2-409b-87ec-019ef0554b9d, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:57,481 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=15d453d5-dade-497c-a5ea-ddbd95b067ac, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:58,495 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=55976634-4999-4f44-81a1-d893354e7776, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-23 21:20:59,586 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=3e044b19-a2b9-427b-92c6-7fd68669b6a8, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:59,706 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=15d453d5-dade-497c-a5ea-ddbd95b067ac, command=[]} | ret=SUCCESS |  
2023-11-23 21:20:59,712 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=13443fdc-b6d2-409b-87ec-019ef0554b9d, command=[]} | ret=SUCCESS |  
2023-11-23 21:21:05,354 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=55976634-4999-4f44-81a1-d893354e7776, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-11-23 21:21:06,493 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=3e044b19-a2b9-427b-92c6-7fd68669b6a8, command=[]} | ret=SUCCESS |  
2023-11-23 21:21:12,054 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=55976634-4999-4f44-81a1-d893354e7776, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-23 21:21:29,653 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=55976634-4999-4f44-81a1-d893354e7776, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-23 21:21:29,701 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=15d453d5-dade-497c-a5ea-ddbd95b067ac, command=[]} | ret=SUCCESS |  
2023-11-23 21:21:29,713 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=13443fdc-b6d2-409b-87ec-019ef0554b9d, command=[]} | ret=SUCCESS |  
2023-11-23 21:21:33,880 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=ALLOCATE_BLOCK {owner=55976634-4999-4f44-81a1-d893354e7776, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-11-23 21:21:36,503 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=SEND_HEARTBEAT {datanodeUUID=3e044b19-a2b9-427b-92c6-7fd68669b6a8, command=[]} | ret=SUCCESS |  
2023-11-23 21:21:59,703 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=15d453d5-dade-497c-a5ea-ddbd95b067ac, command=[]} | ret=SUCCESS |  
2023-11-23 21:21:59,716 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.4 | op=SEND_HEARTBEAT {datanodeUUID=13443fdc-b6d2-409b-87ec-019ef0554b9d, command=[]} | ret=SUCCESS |  
