2023-09-28 09:32:45,177 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=15db2045-26da-4cab-b3e6-37380ad52715, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:49,554 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:49,786 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:50,069 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=fe8444b4-6172-46eb-9721-ef9a9f389842, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:50,291 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=15db2045-26da-4cab-b3e6-37380ad52715, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:54,561 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=534ca069-c67d-4c08-97f8-1f830360e5e9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 09:32:56,921 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:57,262 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=fe8444b4-6172-46eb-9721-ef9a9f389842, command=[]} | ret=SUCCESS |  
2023-09-28 09:32:57,265 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=15db2045-26da-4cab-b3e6-37380ad52715, command=[]} | ret=SUCCESS |  
2023-09-28 09:33:06,679 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=534ca069-c67d-4c08-97f8-1f830360e5e9, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-09-28 09:33:09,065 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
2023-09-28 09:33:19,153 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=534ca069-c67d-4c08-97f8-1f830360e5e9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 09:33:27,260 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=fe8444b4-6172-46eb-9721-ef9a9f389842, command=[]} | ret=SUCCESS |  
2023-09-28 09:33:27,274 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=15db2045-26da-4cab-b3e6-37380ad52715, command=[]} | ret=SUCCESS |  
2023-09-28 09:33:39,049 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
2023-09-28 09:33:50,209 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=534ca069-c67d-4c08-97f8-1f830360e5e9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 09:33:57,146 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.3 | op=ALLOCATE_BLOCK {owner=534ca069-c67d-4c08-97f8-1f830360e5e9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-09-28 09:33:57,267 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=fe8444b4-6172-46eb-9721-ef9a9f389842, command=[]} | ret=SUCCESS |  
2023-09-28 09:33:57,287 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=15db2045-26da-4cab-b3e6-37380ad52715, command=[]} | ret=SUCCESS |  
2023-09-28 09:34:09,040 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
2023-09-28 09:34:27,271 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=fe8444b4-6172-46eb-9721-ef9a9f389842, command=[]} | ret=SUCCESS |  
2023-09-28 09:34:27,279 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=15db2045-26da-4cab-b3e6-37380ad52715, command=[]} | ret=SUCCESS |  
2023-09-28 09:34:39,063 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=e6b7773e-25fd-46dc-bed3-012d34bc070c, command=[]} | ret=SUCCESS |  
