2023-08-24 06:09:14,722 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_KEY {bucket=[erasure], path=[README10.md]} | ret=SUCCESS |  
2023-08-24 06:09:14,766 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=INIT_MULTIPART_UPLOAD {bucket=[erasure], path=[gjsrwnvcux], uploads=[]} | ret=SUCCESS |  
2023-08-24 06:09:16,651 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[erasure], path=[gjsrwnvcux], uploadId=[551f1f72-49ce-44fb-b993-91e2a95bb1eb-110943099601420301], partNumber=[1]} | ret=SUCCESS |  
2023-08-24 06:09:17,845 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_MULTIPART_KEY {bucket=[erasure], path=[gjsrwnvcux], uploadId=[551f1f72-49ce-44fb-b993-91e2a95bb1eb-110943099601420301], partNumber=[2]} | ret=SUCCESS |  
2023-08-24 06:09:17,900 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=COMPLETE_MULTIPART_UPLOAD {bucket=[erasure], path=[gjsrwnvcux], uploadId=[551f1f72-49ce-44fb-b993-91e2a95bb1eb-110943099601420301]} | ret=SUCCESS |  
2023-08-24 06:09:18,725 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-4122628922]} | ret=SUCCESS |  
2023-08-24 06:09:19,344 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9424344075]} | ret=SUCCESS |  
2023-08-24 06:09:19,944 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9424344075]} | ret=SUCCESS |  
2023-08-24 06:09:20,576 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[invalid_bucket_ozone-test-3105698206]} | ret=FAILURE | INVALID_BUCKET_NAME org.apache.hadoop.ozone.om.exceptions.OMException: Invalid bucket name: invalid_bucket_ozone-test-3105698206
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:728)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.createBucket(OzoneManagerProtocolClientSideTranslatorPB.java:552) 
2023-08-24 06:09:21,450 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-5622134825]} | ret=SUCCESS |  
2023-08-24 06:09:26,963 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=CREATE_BUCKET {bucket=[bucket-ozone-test-9757025562]} | ret=SUCCESS |  
2023-08-24 06:09:27,547 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=DELETE_BUCKET {bucket=[bucket-ozone-test-9757025562]} | ret=SUCCESS |  
2023-08-24 06:09:28,162 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=DELETE_BUCKET {bucket=[nosuchbucket-ozone-test-7605181407]} | ret=FAILURE | BUCKET_NOT_FOUND org.apache.hadoop.ozone.om.exceptions.OMException: Bucket not exists
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.handleError(OzoneManagerProtocolClientSideTranslatorPB.java:728)
	at org.apache.hadoop.ozone.om.protocolPB.OzoneManagerProtocolClientSideTranslatorPB.deleteBucket(OzoneManagerProtocolClientSideTranslatorPB.java:965) 
2023-08-24 06:09:28,839 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_BUCKET {bucket=[erasure]} | ret=SUCCESS |  
2023-08-24 06:09:29,437 | ERROR | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=HEAD_BUCKET {bucket=[ozonenosuchbucketqqweqwe-ozone-test-5857740160]} | ret=FAILURE | org.apache.hadoop.ozone.s3.exception.OS3Exception
	at org.apache.hadoop.ozone.s3.exception.S3ErrorTable.newError(S3ErrorTable.java:149)
	at org.apache.hadoop.ozone.s3.endpoint.EndpointBase.getBucket(EndpointBase.java:134) 
2023-08-24 06:09:30,070 | INFO  | S3GAudit | user=dlfknslnfslf | ip=172.18.0.8 | op=LIST_S3_BUCKETS {} | ret=SUCCESS |  
2023-08-24 06:09:31,630 | ERROR | S3GAudit | user=null | ip=172.18.0.8 | op=AUTH(GET /) {} | ret=FAILURE | org.apache.hadoop.ozone.s3.signature.MalformedResourceException: AWS access id is empty. credential: /20230824/us-west-1/s3/aws4_request
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseCredentials(AuthorizationV4HeaderParser.java:170)
	at org.apache.hadoop.ozone.s3.signature.AuthorizationV4HeaderParser.parseSignature(AuthorizationV4HeaderParser.java:91) 
