2023-06-29 21:33:49,191 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b93369e5-9e0d-4f8b-a23c-f02b9bda1293, command=[]} | ret=SUCCESS |  
2023-06-29 21:33:53,838 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=719b1681-be7f-474d-b46f-11ec57130ae6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-29 21:33:55,434 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b144bd75-2038-4955-ba48-81a35f17a5f3, command=[]} | ret=SUCCESS |  
2023-06-29 21:33:55,517 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bdda10c-e08d-4091-bed4-5af1eefff6f7, command=[]} | ret=SUCCESS |  
2023-06-29 21:33:55,740 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b93369e5-9e0d-4f8b-a23c-f02b9bda1293, command=[]} | ret=SUCCESS |  
2023-06-29 21:34:02,584 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=719b1681-be7f-474d-b46f-11ec57130ae6, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-06-29 21:34:04,123 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b144bd75-2038-4955-ba48-81a35f17a5f3, command=[]} | ret=SUCCESS |  
2023-06-29 21:34:11,176 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=719b1681-be7f-474d-b46f-11ec57130ae6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-29 21:34:25,529 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bdda10c-e08d-4091-bed4-5af1eefff6f7, command=[]} | ret=SUCCESS |  
2023-06-29 21:34:25,718 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b93369e5-9e0d-4f8b-a23c-f02b9bda1293, command=[]} | ret=SUCCESS |  
2023-06-29 21:34:34,135 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b144bd75-2038-4955-ba48-81a35f17a5f3, command=[]} | ret=SUCCESS |  
2023-06-29 21:34:37,796 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=719b1681-be7f-474d-b46f-11ec57130ae6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-29 21:34:43,036 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=ALLOCATE_BLOCK {owner=719b1681-be7f-474d-b46f-11ec57130ae6, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-06-29 21:34:55,525 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bdda10c-e08d-4091-bed4-5af1eefff6f7, command=[]} | ret=SUCCESS |  
2023-06-29 21:34:55,726 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b93369e5-9e0d-4f8b-a23c-f02b9bda1293, command=[]} | ret=SUCCESS |  
2023-06-29 21:35:04,135 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=SEND_HEARTBEAT {datanodeUUID=b144bd75-2038-4955-ba48-81a35f17a5f3, command=[]} | ret=SUCCESS |  
2023-06-29 21:35:25,525 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=6bdda10c-e08d-4091-bed4-5af1eefff6f7, command=[]} | ret=SUCCESS |  
2023-06-29 21:35:25,730 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=b93369e5-9e0d-4f8b-a23c-f02b9bda1293, command=[]} | ret=SUCCESS |  
