2023-07-11 09:09:02,079 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=92c5c289-6458-4c95-8cf9-fcb45e6e1e0a, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:06,381 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=32b5abe0-81ee-45f3-a192-953e4cd84451, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:06,597 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=32b5abe0-81ee-45f3-a192-953e4cd84451, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:06,926 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=eefb67b1-4863-463b-bf6a-52f3e2e685dc, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:07,289 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=92c5c289-6458-4c95-8cf9-fcb45e6e1e0a, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:10,418 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=1a716639-ee7b-4b57-9cf0-ac483cd37db9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-07-11 09:09:12,125 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.12 | op=SEND_HEARTBEAT {datanodeUUID=32b5abe0-81ee-45f3-a192-953e4cd84451, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:12,331 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.13 | op=SEND_HEARTBEAT {datanodeUUID=eefb67b1-4863-463b-bf6a-52f3e2e685dc, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:12,375 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.11 | op=SEND_HEARTBEAT {datanodeUUID=92c5c289-6458-4c95-8cf9-fcb45e6e1e0a, command=[]} | ret=SUCCESS |  
2023-07-11 09:09:19,937 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.9 | op=ALLOCATE_BLOCK {owner=1a716639-ee7b-4b57-9cf0-ac483cd37db9, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
