2023-05-18 20:32:39,402 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=af6df0e1-d0b0-4816-b85a-94e492c81ec9, command=[]} | ret=SUCCESS |  
2023-05-18 20:32:39,519 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2e51311f-e320-4519-be0b-f0c4d4469a8d, command=[]} | ret=SUCCESS |  
2023-05-18 20:32:40,649 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1622130d-3ca0-4c9b-b0f1-b3668349a6d1, command=[]} | ret=SUCCESS |  
2023-05-18 20:32:44,518 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=c5d6b921-9fb3-4f3d-a588-f6bf1ec718c9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 20:32:45,957 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=af6df0e1-d0b0-4816-b85a-94e492c81ec9, command=[]} | ret=SUCCESS |  
2023-05-18 20:32:46,158 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2e51311f-e320-4519-be0b-f0c4d4469a8d, command=[]} | ret=SUCCESS |  
2023-05-18 20:32:46,301 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1622130d-3ca0-4c9b-b0f1-b3668349a6d1, command=[]} | ret=SUCCESS |  
2023-05-18 20:32:53,122 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=c5d6b921-9fb3-4f3d-a588-f6bf1ec718c9, size=268435456, type=RATIS, factor=ONE} | ret=SUCCESS |  
2023-05-18 20:32:54,950 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2e51311f-e320-4519-be0b-f0c4d4469a8d, command=[]} | ret=SUCCESS |  
2023-05-18 20:33:02,148 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=c5d6b921-9fb3-4f3d-a588-f6bf1ec718c9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 20:33:15,960 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=af6df0e1-d0b0-4816-b85a-94e492c81ec9, command=[]} | ret=SUCCESS |  
2023-05-18 20:33:16,295 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1622130d-3ca0-4c9b-b0f1-b3668349a6d1, command=[]} | ret=SUCCESS |  
2023-05-18 20:33:24,954 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2e51311f-e320-4519-be0b-f0c4d4469a8d, command=[]} | ret=SUCCESS |  
2023-05-18 20:33:28,075 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=c5d6b921-9fb3-4f3d-a588-f6bf1ec718c9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 20:33:33,585 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.2 | op=ALLOCATE_BLOCK {owner=c5d6b921-9fb3-4f3d-a588-f6bf1ec718c9, size=268435456, type=RATIS, factor=THREE} | ret=SUCCESS |  
2023-05-18 20:33:45,963 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=af6df0e1-d0b0-4816-b85a-94e492c81ec9, command=[]} | ret=SUCCESS |  
2023-05-18 20:33:46,290 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1622130d-3ca0-4c9b-b0f1-b3668349a6d1, command=[]} | ret=SUCCESS |  
2023-05-18 20:33:54,958 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.8 | op=SEND_HEARTBEAT {datanodeUUID=2e51311f-e320-4519-be0b-f0c4d4469a8d, command=[]} | ret=SUCCESS |  
2023-05-18 20:34:15,959 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.10 | op=SEND_HEARTBEAT {datanodeUUID=af6df0e1-d0b0-4816-b85a-94e492c81ec9, command=[]} | ret=SUCCESS |  
2023-05-18 20:34:16,295 | INFO  | SCMAudit | user=hadoop | ip=172.20.0.7 | op=SEND_HEARTBEAT {datanodeUUID=1622130d-3ca0-4c9b-b0f1-b3668349a6d1, command=[]} | ret=SUCCESS |  
